id,anna_mf,oblonsky_mf,vronsky_mf,levin_mf,dolly_mf,kitty_mf,karenin_mf
0,0,0,0,0,0,0,0
1000,0,2,0,0,0,0,0
2000,0,2,0,0,3,0,0
3000,0,1,0,0,8,0,0
4000,2,6,0,0,10,0,2
5000,2,10,0,16,3,0,2
6000,0,13,0,21,0,5,0
7000,0,5,0,18,0,5,0
8000,0,1,0,18,0,4,0
9000,0,4,0,12,1,7,0
10000,0,4,5,16,1,4,0
11000,0,5,5,16,0,8,0
12000,0,3,9,12,0,12,0
13000,0,0,8,14,0,8,0
14000,0,0,12,18,0,8,0
15000,3,5,9,13,1,12,0
16000,7,5,12,4,1,9,0
17000,10,6,13,2,9,2,0
18000,11,5,9,0,19,2,0
19000,15,6,2,0,12,10,0
20000,12,4,3,1,6,10,0
21000,12,0,9,1,0,21,0
22000,11,0,10,12,0,21,0
23000,1,0,3,19,0,0,0
24000,0,0,0,22,0,0,0
25000,9,0,1,14,6,3,0
26000,12,0,2,1,6,3,0
27000,4,0,10,0,0,0,0
28000,13,0,12,0,1,0,0
29000,14,0,6,0,1,0,0
30000,5,0,9,0,0,3,0
31000,2,1,3,1,2,6,0
32000,3,1,2,4,5,18,0
33000,7,0,7,3,4,14,0
34000,4,0,9,0,0,0,0
35000,11,0,8,0,0,0,0
36000,11,0,7,0,0,1,0
37000,5,0,4,0,0,1,0
38000,8,0,3,0,0,0,0
39000,5,0,3,0,0,1,0
40000,0,0,1,11,0,1,0
41000,0,0,0,13,0,0,0
42000,0,3,0,12,0,1,0
43000,0,5,0,19,0,2,0
44000,0,2,1,17,0,2,0
45000,3,2,10,13,0,2,1
46000,3,0,25,3,0,0,1
47000,1,0,24,0,0,0,0
48000,4,0,7,0,0,0,0
49000,3,0,4,0,0,0,0
50000,4,0,13,0,0,0,0
51000,3,0,16,0,0,0,0
52000,3,0,18,0,0,0,0
53000,3,0,10,0,0,0,0
54000,7,0,6,0,0,0,0
55000,10,2,7,0,0,0,0
56000,7,2,2,3,0,11,0
57000,1,0,0,5,0,17,0
58000,0,0,0,2,0,23,0
59000,6,0,0,0,0,23,0
60000,6,0,0,0,0,17,0
61000,2,0,0,0,0,16,0
62000,1,0,0,17,0,15,0
63000,0,0,0,19,0,0,0
64000,0,0,0,17,0,0,0
65000,0,0,0,19,0,0,0
66000,0,0,0,19,0,0,0
67000,0,2,0,14,1,0,0
68000,0,2,0,13,7,3,0
69000,0,0,0,1,9,3,0
70000,0,2,0,9,9,3,0
71000,0,2,1,14,8,6,0
72000,0,0,1,16,6,3,0
73000,2,0,1,7,0,1,0
74000,2,0,2,1,0,1,0
75000,3,0,2,0,0,0,1
76000,5,0,5,0,0,0,1
77000,6,0,4,0,0,0,0
78000,12,0,5,0,0,0,0
79000,14,0,5,0,0,0,0
80000,17,0,9,0,0,0,0
81000,6,0,10,0,0,0,0
82000,4,0,20,0,0,0,0
83000,3,0,17,0,0,0,0
84000,4,0,7,0,0,0,0
85000,6,0,3,1,0,0,0
86000,3,0,0,11,2,3,0
87000,0,0,0,14,2,3,0
88000,0,0,0,15,0,1,0
89000,0,0,0,9,0,0,0
90000,0,0,0,9,0,0,0
91000,0,0,0,12,1,0,0
92000,0,0,0,9,1,1,0
93000,0,0,0,10,0,1,0
94000,1,0,4,11,0,0,0
95000,5,0,16,8,0,0,1
96000,5,0,13,0,0,0,1
97000,2,0,2,0,0,0,0
98000,1,0,2,0,0,0,1
99000,0,0,0,0,6,0,2
100000,1,2,1,7,8,2,3
101000,2,2,2,7,2,2,1
102000,1,0,1,10,2,4,6
103000,0,0,1,12,2,4,6
104000,0,0,0,6,0,4,0
105000,4,0,0,6,8,4,0
106000,4,0,0,16,8,4,0
107000,0,0,0,24,4,4,0
108000,0,0,0,19,0,7,0
109000,1,0,0,10,1,7,1
110000,2,0,6,1,1,0,1
111000,3,0,6,0,0,0,0
112000,7,0,1,0,0,0,0
113000,7,0,3,0,0,0,0
114000,5,0,3,0,0,0,1
115000,4,1,1,0,1,0,1
116000,3,2,1,7,1,1,0
117000,2,1,0,14,2,1,0
118000,0,0,2,13,2,3,0
119000,0,0,2,8,2,4,0
120000,0,0,0,15,2,6,0
121000,0,0,0,11,4,7,0
122000,8,0,20,6,3,9,0
123000,10,0,26,4,0,2,0
124000,6,0,12,0,0,0,0
125000,5,0,8,0,0,0,0
126000,5,0,5,0,0,0,0
127000,6,0,21,1,0,0,0
128000,6,0,20,5,3,2,0
129000,0,0,0,6,3,2,0
130000,0,0,0,8,5,6,0
131000,0,0,0,19,5,6,0
132000,0,0,0,18,0,7,0
133000,0,0,0,17,0,5,0
134000,0,0,0,21,0,7,0
135000,4,0,0,11,0,8,0
136000,4,0,0,0,0,1,0
137000,4,0,2,0,0,0,7
138000,5,0,3,0,0,0,7
139000,1,0,1,0,0,0,0
140000,1,0,0,0,0,0,0
141000,9,0,9,0,0,0,0
142000,13,0,14,0,0,0,0
143000,5,0,6,0,0,0,0
144000,4,0,1,0,0,0,0
145000,11,0,7,0,0,0,0
146000,13,0,11,0,0,0,0
147000,16,0,17,3,3,5,0
148000,10,1,9,5,5,13,0
149000,2,1,3,6,2,13,0
150000,1,0,0,5,0,8,0
151000,0,0,0,4,2,4,0
152000,3,2,1,13,4,8,0
153000,3,2,1,13,2,8,0
154000,0,2,0,15,0,2,0
155000,0,2,0,16,0,0,0
156000,0,3,0,17,0,0,0
157000,0,4,0,8,0,1,0
158000,0,2,0,9,0,2,0
159000,0,0,0,10,2,9,0
160000,0,2,0,13,7,8,0
161000,4,2,1,15,10,4,0
162000,12,0,5,4,10,4,0
163000,16,0,5,0,20,0,0
164000,19,2,2,0,18,0,0
165000,19,2,2,0,10,2,0
166000,10,1,6,0,10,2,0
167000,14,0,5,0,10,1,0
168000,14,0,4,5,10,0,0
169000,10,2,3,5,14,0,0
170000,9,2,1,1,14,0,0
171000,9,1,10,5,11,1,0
172000,4,1,10,14,0,1,0
173000,0,0,0,10,0,0,0
174000,0,0,0,16,0,0,0
175000,0,0,8,14,0,0,0
176000,1,0,8,17,0,1,0
177000,4,2,13,6,1,1,0
178000,6,2,6,1,1,1,0
179000,2,2,5,8,1,4,0
180000,0,1,0,15,1,5,0
181000,0,0,0,17,0,2,0
182000,0,0,0,21,0,2,0
183000,0,4,4,21,0,1,0
184000,3,4,11,16,0,1,0
185000,8,1,7,18,2,1,0
186000,8,4,1,17,2,4,0
187000,7,5,1,8,1,4,0
188000,0,1,0,13,1,4,0
189000,0,0,0,10,2,6,0
190000,0,0,0,11,2,9,0
191000,5,4,0,7,2,4,3
192000,6,4,0,0,1,0,3
193000,3,2,1,0,0,0,1
194000,0,5,1,0,0,0,2
195000,2,4,1,0,0,0,2
196000,6,2,4,0,0,0,1
197000,7,2,7,0,0,0,0
198000,5,2,7,0,0,0,0
199000,3,0,3,0,0,0,0
200000,3,1,2,1,6,5,0
201000,14,1,2,2,8,16,0
202000,13,0,2,1,3,11,0
203000,9,0,4,0,0,3,0
204000,6,0,4,1,0,0,0
205000,0,2,4,1,0,0,0
206000,0,2,5,0,0,0,1
207000,0,1,5,3,1,3,1
208000,0,1,0,4,5,4,0
209000,0,0,0,7,4,1,0
210000,0,0,0,8,0,0,0
211000,0,0,0,7,1,0,0
212000,0,0,0,10,1,0,0
213000,0,0,1,9,2,0,0
214000,0,0,1,6,3,0,0
215000,0,0,0,9,1,7,0
